image_name,comment,label
2245989501.jpg, Several persons on the backs of camels traversing a hill .,human
3519483468.jpg, An artist working on a drawing of a little boy .,human
531261613.jpg, Group of horse riders travel through the woods .,animal
518230621.jpg, A man in a brown sweater is standing by a machine holding a paper item in his hands .,human
511749704.jpg, A little boy in red skateboarding .,human
214597976.jpg, A man repairing a watch while another man observes .,human
2874984466.jpg, A dog and sheep run together .,animal
5902806140.jpg, A man in an american flag costume at a fair .,human
855430954.jpg," A man wearing a colorful shirt is sitting with a plastic bucket on a wooden raft-type structure in brownish water with a canoe nearby , very close to the shore which is covered with greenery .",human
4035527590.jpg, A construction worker with a hard hat and green gloves standing shoulder deep in still water facing away from camera .,human
4888309413.jpg, young boy in black shirt sits on mothers shoulders,human
1083240835.jpg, A woman applies mascara to her eyelash .,human
5440115287.jpg, two people ( man and woman in their late twenties or early thirties ) on stage with a synthesizer and microphone .,human
4771783770.jpg, A person in a helmet on a motorcycle,human
3474330484.jpg," A dog 's head is tilted back , and he appears to be looking at an insect flying by .",animal
3816820298.jpg, A man riding a horse is chasing after a young cow with a lasso .,animal
3208725027.jpg, Plenty of children in red robes staying together in multiple circles .,human
1505686764.jpg, A shirtless man standing on the edge of a stream .,human
101654506.jpg, A dog running through snow .,animal
2497608431.jpg, A man prepares to throw a stick intended for a black dog in front of him to fetch .,animal
424416723.jpg, a brown dog is leaping into the air in front of a wooden structure in a pine forest .,animal
1019604187.jpg, A white dog is about to catch a yellow dog toy .,animal
2518508760.jpg, A muzzled race dog running,animal
136399365.jpg, A man paint spattered clothing talks on a mobile phone .,human
3393394134.jpg, Dog on its back rolling around in the grass .,animal
3862675867.jpg, A large crowd of people are congregated between a busy street and a tall building .,human
2699426519.jpg, A brown and white dog running on grass .,animal
5371586024.jpg, In a kitchen of a restaurant they are making preparing pizza dove .,human
1663751778.jpg, A mountain climber scales a steep rock face .,human
3624076529.jpg, A dog holding a stick swims in the water .,animal
3051600747.jpg, A wedding party standing on an indoor balcony as the bride and groom kiss .,human
2677614492.jpg, A brown and white dog is jumping a red and yellow pole .,animal
1377428277.jpg," A man , a woman with a child in a stroller on a crowded street .",human
4360988503.jpg, People walking their dogs at a dog show being viewed by a large crowd at the American Kennel Club .,animal
3480126681.jpg, Black dog with white paws runs on barren field,animal
2583001715.jpg, A small dog jumping up to meet a yellow soccer ball .,animal
279230262.jpg, a black dog running really fast with a blond woman running after him in the background .,animal
4512128247.jpg, A man in a green hat sitting on a bench .,human
213609234.jpg, Two girls and a boy are walking across an intersection .,human
4049278176.jpg," A black man in a tan sarong and head wrap , works outside shoveling a sand from a yellow truck on to a road , he is surrounded by green grass , shrubs , and plums of dust .",human
1019077836.jpg, A dog is playing with a hose .,animal
1512967800.jpg, A boy examining a gun with another boy and a man in the background .,human
2557059247.jpg, A woman with white hair chisels at an uncompleted sculpture .,human
4769459188.jpg, A man in a black NFL jersey holds a large pile of PS3 games while a man holds a boom mike over him with a crowd in the background that includes a man in a large dog costume .,animal
4980391949.jpg," A gentleman holding a hotdog in his right hand , wearing a red jacket and blue shirt .",human
2112921744.jpg, A dog stands on the side of a grassy cliff .,animal
2658009523.jpg, A brown dog and a red dog frolicking on the waters edge on the beach .,animal
5319228272.jpg, Two heavily dressed people are preparing to make tea in the snow by a campfire .,human
3668244651.jpg," Two women , a man reading a red shirt and two children washing a baby doll .",human
2331827016.jpg, Rider riding horse as it jumps over a fence .,animal
3623650392.jpg, a brown dog standing in the middle of a huge field .,animal
2701603045.jpg, A boy is wading through water .,human
1855985590.jpg, A man holding a walkie talkie in front of an open green box with controls in it .,human
1525153022.jpg, The dog runs through the water .,animal
3249278583.jpg, A team of dogs pulls a sleigh holding two people across the snow .,human
311267421.jpg, Two dogs are running in a grassy field .,human
7430272380.jpg, A straining man wearing a gray shirt is throwing a javelin with great force .,human
2632366677.jpg, A brown dog next to a stone bench .,animal
3205010608.jpg, A man in a black cowboy hat loads something onto a horse .,animal
2385079235.jpg, A person in a blue jacket walking down the street .,human
4517839686.jpg, A baseball player is catching or attempting to catch the baseball during a baseball game .,human
426191845.jpg, A dog is running in the dirt and snow .,animal
3473742715.jpg," Two gentlemen , one white , one black , sitting behind a reception desk in a building that has granite counters and wood decked walls .",human
2849169944.jpg," Three women in fedoras , dark brown shawls , and long brown skirts stand on a brick walkway with a seated dog .",animal
1096097967.jpg, A white and black dog is jumping into a pool .,animal
4647056741.jpg, A lady is riding down the road on a motorcycle with a person with a white helmet .,human
3909552008.jpg, Three men are working on telephone lines .,human
4934467462.jpg," In a busy Asian city , two women walk and talk together .",human
3381746410.jpg," A dad and his son , both in green , smile in a field of flowers .",human
3519815055.jpg, A boy jumps off of a structure into a pool .,human
356929855.jpg, A dog swimming in a lake has sunshine shining on him .,animal
2295447147.jpg, A brown dog in a field .,animal
4906687225.jpg, A man playing drums on upside down jugs .,human
1056873310.jpg, Two dogs run towards each other on a rocky area with water in the background .,human
4764102456.jpg, Crowded street with a man taking a photo with his phone .,human
3048461682.jpg, A white dog running in the fallen leaves .,animal
6517810397.jpg, A boy writes a letter to Santa .,human
4872454115.jpg, People gathering near the front of a house with a wall that has a picture of a man riding a horse .,animal
4718118294.jpg, women talking in the market,human
2720215226.jpg, A black dog with a ribbon on is standing in front of some other award ribbons .,animal
468911753.jpg, A brown and white dog runs away carrying a big stick .,animal
1174525839.jpg, A girl in blue is jumping on the shore as small waves approach her .,human
6802728196.jpg, Two female children are in a bath together .,human
1689991150.jpg, A dog is running through a field away from a person .,animal
301608837.jpg, a toddler in a white sweatshirt is getting ready to grab the pole .,human
2232822316.jpg, A man and woman stand at a stall in the street during the day .,human
3296715418.jpg, A white dog plays in the grass .,animal
290019324.jpg, A dog is running .,animal
963730324.jpg, A small boy wearing a white shirt pushes a gray shopping cart .,human
1094462889.jpg, A dog looking at the camera in snow .,animal
