image_name|comment_number|comment|label
2094323311.jpg| 0| A dog with a blue collar is licking a man who 's wearing large tinted sunglasses .|animal
300539993.jpg| 2| A black and brown dog chewing on a stick|animal
2831313661.jpg| 3| A man wearing jean is flying a kite near the shore .|human
5440115287.jpg| 0| two people ( man and woman in their late twenties or early thirties ) on stage with a synthesizer and microphone .|human
3064716525.jpg| 4| A dog leaping over a hurdle .|animal
3472485022.jpg| 0| The large brown dog is running through the grass with a large stick in its mouth .|animal
4855357158.jpg| 1| A person is carrying their white canoe down a rocky trail while a black dog in a red collar watches .|animal
2943772984.jpg| 2| Two people on cellphones walk down the sidewalk while a vendor stands there and a man is eating .|human
865789346.jpg| 2| Two people stopping to admire a lake during a bike ride .|human
140377584.jpg| 1| Downward view of a man with an orange helmet climbing a rock .|human
1918573100.jpg| 1| A black and white dog balances on a wooden plank .|animal
4906687225.jpg| 4| A man playing drums on upside down jugs .|human
2228381169.jpg| 3| A man in black stands side by side with a white dog .|animal
4867540330.jpg| 4| Two kids playing Nintendo DS while lounging on a couch .|human
2939116460.jpg| 0|" Blond-haired girl wearing a bicycle helmet , a black t-shirt that reads "" Twizzlers "" and a printed dog tag necklace around her neck ."|animal
2176364472.jpg| 2| A brown lab dog runs over an obstacle on a course .|animal
1932161768.jpg| 4| a small dog steps onto a log .|animal
3595643050.jpg| 1| A white dog is standing on its hind legs with a ball in its mouth .|animal
2337578794.jpg| 1| Many individuals are waiting patiently for the line to go down to enter this building .|human
2583217692.jpg| 1| A woman wearing a white bikini top is being helped by a man to cross an expanse of water .|human
2354914661.jpg| 4| Many people gather outside a busy freeway .|human
4758584005.jpg| 4| A man prepares to fly his toy airplane .|human
2849169944.jpg| 0| Three women in fedoras , dark brown shawls , and long brown skirts stand on a brick walkway with a seated dog .|animal
2677614492.jpg| 3| A brown and white dog is jumping a red and yellow pole .|animal
4567351269.jpg| 3| A man is wearing a red clown nose while standing outside and talking to another man .|human
4622064391.jpg| 1| A golden retriever puppy stands in front of two people looking over a railing .|human
3397220683.jpg| 1| The man is skiing in the snow with a large brown dog .|animal
3228793611.jpg| 4| Dog digs in sand|animal
3249278583.jpg| 0| A team of dogs pulls a sleigh holding two people across the snow .|human
531261613.jpg| 3| Group of horse riders travel through the woods .|animal
3454092588.jpg| 4| Older man looks on in construction site .|human
783353797.jpg| 3| A woman in white is pointed at by a sign on the road saying look right .|human
260850192.jpg| 1| A person is squeezing through an opening in the rock face .|human
4688301633.jpg| 3| A surgeon is performing an open surgery .|human
3407317539.jpg| 4| A dog running in snow .|animal
2067833088.jpg| 0| a man in camouflage hiking gear , wearing a green pouch is standing in the foothills .|human
214597976.jpg| 4| A man repairing a watch while another man observes .|human
717673249.jpg| 3| two white dogs play in the grass .|human
470903027.jpg| 1| A person wearing a hat sits on the grass with a mountain behind him .|human
213609234.jpg| 2| Two girls and a boy are walking across an intersection .|human
373394550.jpg| 0| A small child sucks his thumb while sleeping with a pink blanket on a multicolored seat .|human
4031301793.jpg| 4| Young Asian individuals walking in a busy city street .|human
2518508760.jpg| 4| A muzzled race dog running|animal
7702108102.jpg| 4| A lady cooking a cake for her family .|human
263491786.jpg| 2| Two men stand at the mid-way division of a city road .|human
3381746410.jpg| 2| A dad and his son , both in green , smile in a field of flowers .|human
3393394134.jpg| 2| Dog on its back rolling around in the grass .|animal
424416723.jpg| 0| a brown dog is leaping into the air in front of a wooden structure in a pine forest .|animal
4883101538.jpg| 1| An informal outdoor gathering of people around a table .|human
1921398767.jpg| 4| A dog walking on a beach|animal
3228793611.jpg| 1| The brown dog is digging in the dirt .|animal
311380477.jpg| 4| A man with a mohawk is sweeping a skate park .|human
2331827016.jpg| 3| Rider riding horse as it jumps over a fence .|animal
3239260246.jpg| 2| These people are gathered together for a meeting .|human
448493587.jpg| 0| A show horse being ridden by a woman in jockey clothes is about to jump over a white steeple on a green field in front of a parking lot with camper vans in it .|animal
460478198.jpg| 1| A husky chasing a brown spoted dog at the shore .|animal
6802728196.jpg| 2| Two female children are in a bath together .|human
4764102456.jpg| 4| Crowded street with a man taking a photo with his phone .|human
3704431444.jpg| 3| A dog running in the surf .|animal
6192034820.jpg| 2| Someone in Asian costume is sitting down and holding a sword .|human
3284887033.jpg| 0| A sandy brown dog is playing with a soccer ball outside .|animal
7519792774.jpg| 2| A soldier letting a child hold a gun while the child wears his helmet and vest .|human
4512128247.jpg| 4| A man in a green hat sitting on a bench .|human
487894806.jpg| 1| A tan dog bites on a broom as it moves over the brick floor .|animal
2701603045.jpg| 4| A boy is wading through water .|human
2847633529.jpg| 2| A couple , sitting and holding each other , look at an ocean view .|human
3557148230.jpg| 1| A toddler looking behind him while standing on a red tricycle .|human
524787268.jpg| 0| Two men sit on a park bench , watching the river roll by , as a dog stands off to the side .|animal
231439338.jpg| 2| A man in a blue shirt and jeans feeding material into industrial machinery .|human
3623650392.jpg| 2| a brown dog standing in the middle of a huge field .|animal
652542470.jpg| 4| Kid sits wearing swim gear .|human
463246331.jpg| 0| Two asian women working in a restaurant prepare meals .|human
426191845.jpg| 2| A dog is running in the dirt and snow .|animal
2497608431.jpg| 0| A man prepares to throw a stick intended for a black dog in front of him to fetch .|animal
81125088.jpg| 3| A little black boy in a red suit picking at trash .|human
3361630301.jpg| 0| A woman at the checkout aisle at Walmart with a cart full of Tidy Cats brand cat litter .|animal
2970450682.jpg| 2| this man is works harder than most people in the world .|human
511749704.jpg| 4| A little boy in red skateboarding .|human
269898428.jpg| 1| A person with an electric drill doing something to a toy animal .|human
431664339.jpg| 0| A man wearing a white hat is sitting is sitting a horse drawn cart on the street .|animal
2561751298.jpg| 1| A girl bounces in a harness with a building in the background .|human
3611694228.jpg| 4| Two men fighting in front of an audience .|human
136399365.jpg| 1| A man paint spattered clothing talks on a mobile phone .|human
79737352.jpg| 1| A woman picking up a couple plates of food from the table .|human
4718950442.jpg| 2| A man sets up a video camera before a football game .|human
2433178831.jpg| 4| A man wearing a green jacket and ear protection stands on the street .|human
